+-----+----------+----------+---------------------+-----------+------------+-----------------------------------------------------------------------------------------------------------------+-----------------------+-----------+----------+
|     | Column 1 | Column 2 |      Column 3       | Column 4  |  Column 5  |                                                    Column 6                                                     |       Column 7        | Column 8  | Column 9 |
| 103 |          |   103    | 2024-08-31 14:51:40 | 2024-2025 |  ₹ 256.23  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725096100333-42  |  Pending  | Pending  |
| 104 |          |   104    | 2024-08-31 14:51:22 | 2024-2025 |  ₹ 256.23  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725096081715-403 |  Pending  | Pending  |
| 105 |          |   105    | 2024-08-30 16:37:31 | 2024-2025 |  ₹ 397.68  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 |  ZOM-1725016051359-4  |  Pending  | Pending  |
| 106 |          |   106    | 2024-08-30 16:33:35 | 2024-2025 |  ₹ 596.53  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725015814891-424 |  Pending  | Pending  |
| 107 |          |   107    | 2024-08-30 16:28:27 | 2024-2025 |  ₹ 397.68  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725015506995-880 |  Pending  | Pending  |
| 108 |          |   108    | 2024-08-30 16:16:36 | 2024-2025 |  ₹ 198.84  |                                                      hello                                                      | ZOM-1725014796485-900 |  Pending  | Pending  |
| 109 |          |   109    | 2024-08-30 16:11:15 | 2024-2025 |  ₹ 397.68  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725014475738-485 |  Pending  | Pending  |
| 110 |          |   110    | 2024-08-30 16:03:19 | 2024-2025 |  ₹ 198.84  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725013999501-176 |  Pending  | Pending  |
| 111 |          |   111    | 2024-08-30 15:48:26 | 2024-2025 |  ₹ 397.68  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725013106843-915 |  Pending  | Pending  |
| 112 |          |   112    | 2024-08-30 15:45:41 | 2024-2025 |  ₹ 397.68  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725012941523-145 |  Pending  | Pending  |
| 113 |          |   113    | 2024-08-30 15:45:39 | 2024-2025 |  ₹ 397.68  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725012938917-724 |  Pending  | Pending  |
| 114 |          |   114    | 2024-08-30 15:42:20 | 2024-2025 |  ₹ 397.68  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725012740268-672 |  Pending  | Pending  |
| 115 |          |   115    | 2024-08-30 15:42:18 | 2024-2025 |  ₹ 397.68  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725012738861-995 |  Pending  | Pending  |
| 116 |          |   116    | 2024-08-30 15:42:18 | 2024-2025 | ₹ 1053.21  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725012738799-850 |  Pending  | Pending  |
| 117 |          |   117    | 2024-08-30 15:42:17 | 2024-2025 |  ₹ 397.68  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725012737873-630 |  Pending  | Pending  |
| 118 |          |   118    | 2024-08-30 15:42:16 | 2024-2025 |  ₹ 397.68  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725012736100-627 |  Pending  | Pending  |
| 119 |          |   119    | 2024-08-30 15:41:44 | 2024-2025 |  ₹ 397.68  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725012704190-679 |  Pending  | Pending  |
| 120 |          |   120    | 2024-08-30 15:39:35 | 2024-2025 |  ₹ 198.84  |                                                      hello                                                      | ZOM-1725012575811-611 |  Pending  | Pending  |
| 121 |          |   121    | 2024-08-30 15:38:33 | 2024-2025 |  ₹ 198.84  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725012513647-500 | Completed |  Credit  |
| 122 |          |   122    | 2024-08-30 15:38:14 | 2024-2025 |  ₹ 198.84  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725012494189-654 |  Pending  | Pending  |
| 123 |          |   123    | 2024-08-30 15:36:00 | 2024-2025 |  ₹ 397.68  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725012360074-128 |  Pending  | Pending  |
| 124 |          |   124    | 2024-08-30 15:34:46 | 2024-2025 |  ₹ 198.84  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725012286978-890 |  Pending  | Pending  |
| 125 |          |   125    | 2024-08-30 15:27:35 | 2024-2025 |  ₹ 596.53  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725011855531-134 |  Pending  | Pending  |
| 126 |          |   126    | 2024-08-30 15:26:23 | 2024-2025 |  ₹ 198.84  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725011783513-952 |  Pending  | Pending  |
| 127 |          |   127    | 2024-08-30 15:23:19 | 2024-2025 |  ₹ 198.84  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725011599633-800 |  Pending  | Pending  |
| 128 |          |   128    | 2024-08-30 15:15:18 | 2024-2025 |  ₹ 198.84  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725011118634-482 |  Pending  | Pending  |
| 129 |          |   129    | 2024-08-30 15:15:03 | 2024-2025 |  ₹ 198.84  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725011103233-138 |  Pending  | Pending  |
| 130 |          |   130    | 2024-08-30 15:12:15 | 2024-2025 |  ₹ 198.84  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725010935236-288 |  Pending  | Pending  |
| 131 |          |   131    | 2024-08-30 15:11:24 | 2024-2025 | ₹ 7416.15  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725010884621-243 |  Pending  | Pending  |
| 132 |          |   132    | 2024-08-30 14:30:00 | 2024-2025 |  ₹ 198.84  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725008400754-967 |  Pending  | Pending  |
| 133 |          |   133    | 2024-08-30 14:22:17 | 2024-2025 |  ₹ 397.68  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725007937290-154 |  Pending  | Pending  |
| 134 |          |   134    | 2024-08-30 14:21:06 | 2024-2025 | ₹ 1590.73  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725007866617-43  |  Pending  | Pending  |
| 135 |          |   135    | 2024-08-30 14:20:04 | 2024-2025 |  ₹ 397.68  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725007804245-230 |  Pending  | Pending  |
| 136 |          |   136    | 2024-08-30 14:18:15 | 2024-2025 |  ₹ 397.68  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725007695130-658 |  Pending  | Pending  |
| 137 |          |   137    | 2024-08-30 13:33:04 | 2024-2025 |  ₹ 596.53  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725004984052-454 |  Pending  | Pending  |
| 138 |          |   138    | 2024-08-30 13:28:50 | 2024-2025 | ₹ 2187.26  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725004730180-946 |  Pending  | Pending  |
| 139 |          |   139    | 2024-08-30 13:28:12 | 2024-2025 |  ₹ 596.53  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725004692082-114 |  Pending  | Pending  |
| 140 |          |   140    | 2024-08-30 13:26:33 | 2024-2025 |    ₹ 59    | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725004593909-544 |  Pending  | Pending  |
| 141 |          |   141    | 2024-08-30 13:26:20 | 2024-2025 |  ₹ 198.84  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725004580166-967 |  Pending  | Pending  |
| 142 |          |   142    | 2024-08-30 13:26:07 | 2024-2025 |  ₹ 198.84  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725004567833-779 |  Pending  | Pending  |
| 143 |          |   143    | 2024-08-30 13:25:51 | 2024-2025 |  ₹ 198.84  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725004551685-967 |  Pending  | Pending  |
| 144 |          |   144    | 2024-08-30 13:25:51 | 2024-2025 |  ₹ 198.84  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725004551530-743 |  Pending  | Pending  |
| 145 |          |   145    | 2024-08-30 13:25:51 | 2024-2025 |  ₹ 198.84  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725004551435-577 |  Pending  | Pending  |
| 146 |          |   146    | 2024-08-30 13:25:38 | 2024-2025 |    ₹ 59    | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725004538798-775 |  Pending  | Pending  |
| 147 |          |   147    | 2024-08-30 13:25:38 | 2024-2025 |    ₹ 59    | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725004538681-157 |  Pending  | Pending  |
| 148 |          |   148    | 2024-08-30 13:25:18 | 2024-2025 |    ₹ 59    | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725004517937-840 |  Pending  | Pending  |
| 149 |          |   149    | 2024-08-30 13:25:17 | 2024-2025 |    ₹ 59    | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725004517833-652 |  Pending  | Pending  |
| 150 |          |   150    | 2024-08-30 13:25:05 | 2024-2025 |  ₹ 257.84  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725004505260-160 |  Pending  | Pending  |
| 151 |          |   151    | 2024-08-30 13:25:05 | 2024-2025 |  ₹ 257.84  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725004505113-922 |  Pending  | Pending  |
| 152 |          |   152    | 2024-08-30 13:23:44 | 2024-2025 |  ₹ 198.84  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725004424650-305 |  Pending  | Pending  |
| 153 |          |   153    | 2024-08-30 13:23:26 | 2024-2025 |  ₹ 596.53  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725004406575-557 |  Pending  | Pending  |
| 154 |          |   154    | 2024-08-30 13:22:20 | 2024-2025 |  ₹ 397.68  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725004340224-572 | Completed |  Credit  |
| 155 |          |   155    | 2024-08-30 13:20:31 | 2024-2025 |  ₹ 397.68  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725004231671-43  | Completed |  Credit  |
| 156 |          |   156    | 2024-08-30 13:16:47 | 2024-2025 |  ₹ 257.84  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725004007088-900 |  Pending  | Pending  |
| 157 |          |   157    | 2024-08-30 13:16:46 | 2024-2025 |  ₹ 257.84  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725004006939-70  |  Pending  | Pending  |
| 158 |          |   158    | 2024-08-30 13:16:46 | 2024-2025 |  ₹ 257.84  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725004006710-434 |  Pending  | Pending  |
| 159 |          |   159    | 2024-08-30 13:16:09 | 2024-2025 |  ₹ 795.37  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725003969451-440 |  Pending  | Pending  |
| 160 |          |   160    | 2024-08-30 13:05:09 | 2024-2025 |  ₹ 397.68  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725003309357-917 |  Pending  | Pending  |
| 161 |          |   161    | 2024-08-30 13:04:47 | 2024-2025 |  ₹ 198.84  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725003287583-823 |  Pending  | Pending  |
| 162 |          |   162    | 2024-08-30 13:04:43 | 2024-2025 |  ₹ 397.68  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725003283120-832 |  Pending  | Pending  |
| 163 |          |   163    | 2024-08-30 12:59:29 | 2024-2025 |  ₹ 198.84  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725002969079-541 |  Pending  | Pending  |
| 164 |          |   164    | 2024-08-30 12:58:52 | 2024-2025 |  ₹ 2386.1  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725002932683-474 |  Pending  | Pending  |
| 165 |          |   165    | 2024-08-30 12:56:49 | 2024-2025 |  ₹ 596.53  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725002809848-173 |  Pending  | Pending  |
| 166 |          |   166    | 2024-08-30 12:29:57 | 2024-2025 | ₹ 15111.98 | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725001197826-205 |  Pending  | Pending  |
| 167 |          |   167    | 2024-08-30 12:16:05 | 2024-2025 | ₹ 3777.99  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725000365436-544 |  Pending  | Pending  |
| 168 |          |   168    | 2024-08-30 12:07:19 | 2024-2025 | ₹ 1988.42  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1724999839467-190 |  Pending  | Pending  |
| 169 |          |   169    | 2024-08-30 11:58:11 | 2024-2025 |  ₹ 198.84  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1724999290974-835 |  Pending  | Pending  |
| 170 |          |   170    | 2024-08-30 10:59:15 | 2024-2025 |  ₹ 198.84  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1724995754940-690 |  Pending  | Pending  |
| 171 |          |   171    | 2024-08-30 10:57:55 | 2024-2025 | ₹ 1988.42  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1724995675169-687 | Completed |  Credit  |
| 172 |          |   172    | 2024-08-30 10:56:39 | 2024-2025 |  ₹ 198.84  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1724995599814-997 |  Pending  | Pending  |
| 173 |          |   173    | 2024-08-30 10:53:48 | 2024-2025 | ₹ 3976.84  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1724995428164-79  |  Pending  | Pending  |
| 174 |          |   174    | 2024-08-30 10:48:40 | 2024-2025 | ₹ 1193.05  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1724995120863-936 |  Pending  | Pending  |
| 175 |          |   175    | 2024-08-30 10:47:59 | 2024-2025 | ₹ 9205.72  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1724995079547-514 |  Pending  | Pending  |
| 176 |          |   176    | 2024-08-30 10:47:59 | 2024-2025 | ₹ 9205.72  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1724995079528-922 |  Pending  | Pending  |
| 177 |          |   177    | 2024-08-30 10:30:20 | 2024-2025 | ₹ 1590.73  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1724994019952-609 | Completed |  Credit  |
| 178 |          |   178    | 2024-08-30 10:29:07 | 2024-2025 | ₹ 2187.26  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1724993947299-593 |  Pending  | Pending  |
| 179 |          |   179    | 2024-08-30 10:26:17 | 2024-2025 | ₹ 2584.94  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1724993777399-463 | Completed |  Credit  |
| 180 |          |   180    | 2024-08-29 17:41:13 | 2024-2025 | ₹ 11119.75 | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1724933473669-947 | Completed |  Credit  |
| 181 |          |   181    | 2024-08-29 16:57:21 | 2024-2025 |  ₹ 400.92  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1724930841524-592 | Completed |  Credit  |
+-----+----------+----------+---------------------+-----------+------------+-----------------------------------------------------------------------------------------------------------------+-----------------------+-----------+----------+
